Source_Negative_Row,Source_Sequence_ID,Original_Acceptor_SMILES,Repaired_Acceptor_SMILES,Raw_RDKit_Parse_OK,Repaired_RDKit_Parse_OK,Modified,Repair_Count,Removed_Bracket_Positions_1Based,Repaired_Canonical_SMILES
12,11,O([Si](C(C(C)C)(C)C)(C)C)[C@H]1[C@@H]([C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1)N4C(=O)C(C)=C(C)C4=O,O([Si](C(C(C)C)(C)C)(C)C)[C@H]1[C@@H]([C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1)N4C(=O)C(C)=C(C)C4=O,True,True,False,0,,CC(=O)O[C@H]1[C@H](OCc2ccccc2)[C@@H](N2C(=O)C(C)=C(C)C2=O)[C@H](O[Si](C)(C)C(C)(C)C(C)C)O[C@@H]1COCc1ccccc1
13,12,O([C@H]1[C@@H]([C@@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COC(C)=O)O1)N2C(=O)C=3C(C2=O)=CC=CC3)C4=CC=C(OC)C=C4,O([C@H]1[C@@H]([C@@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COC(C)=O)O1)N2C(=O)C=3C(C2=O)=CC=CC3)C4=CC=C(OC)C=C4,True,True,False,0,,COc1ccc(O[C@@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@H]2N2C(=O)c3ccccc3C2=O)cc1
14,13,O([C@@H]1[C@@H](OCC2=CC3=C(C=C2)C=CC=C3)[C@H](OCC4=CC5=C(C=C4)C=CC=C5)[C@@H](OCC6=CC7=C(C=C6)C=CC=C7)[C@@H](OCC8=CC9=C(C=C8)C=CC=C9)[C@H]1OCC=C)[C@@H]%10[C@H](N=[N+]=[N-])[C@@H](OCC%11=CC%12=C(C=C%11)C=CC=C%12)[C@H](OC(=O)C)[C@@H](COCC%13=CC%14=C(C=C%13)C=CC=C%14)O%10,O([C@@H]1[C@@H](OCC2=CC3=C(C=C2)C=CC=C3)[C@H](OCC4=CC5=C(C=C4)C=CC=C5)[C@@H](OCC6=CC7=C(C=C6)C=CC=C7)[C@@H](OCC8=CC9=C(C=C8)C=CC=C9)[C@H]1OCC=C)[C@@H]%10[C@H](N=[N+]=[N-])[C@@H](OCC%11=CC%12=C(C=C%11)C=CC=C%12)[C@H](OC(=O)C)[C@@H](COCC%13=CC%14=C(C=C%13)C=CC=C%14)O%10,True,True,False,0,,C=CCO[C@@H]1[C@H](OCc2ccc3ccccc3c2)[C@H](OCc2ccc3ccccc3c2)[C@@H](OCc2ccc3ccccc3c2)[C@H](OCc2ccc3ccccc3c2)[C@H]1O[C@H]1O[C@H](COCc2ccc3ccccc3c2)[C@@H](OC(C)=O)[C@H](OCc2ccc3ccccc3c2)[C@H]1N=[N+]=[N-]
15,14,O([C@H]1[C@@H]([C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1)N4C(=O)C=5C(C4=O)=CC=CC5)[C@H]6[C@@H](OCC7=CC=CC=C7)[C@H](OCC8=CC=CC=C8)[C@@H](COCC9=CC=CC=C9)O[C@@H]6OCCCCCCCC,O([C@H]1[C@@H]([C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1)N4C(=O)C=5C(C4=O)=CC=CC5)[C@H]6[C@@H](OCC7=CC=CC=C7)[C@H](OCC8=CC=CC=C8)[C@@H](COCC9=CC=CC=C9)O[C@@H]6OCCCCCCCC,True,True,False,0,,CCCCCCCCO[C@H]1O[C@H](COCc2ccccc2)[C@@H](OCc2ccccc2)[C@H](OCc2ccccc2)[C@@H]1O[C@@H]1O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@H](OCc2ccccc2)[C@H]1N1C(=O)c2ccccc2C1=O
16,15,N(C(C)=O)[C@@H]1[C@@H](OC(OCC(Cl)(Cl)Cl)=O)[C@H](OC(=O)C)[C@@H](COCC2=CC=CC=C2)O[C@H]1OCCCCCCCl,N(C(C)=O)[C@@H]1[C@@H](OC(OCC(Cl)(Cl)Cl)=O)[C@H](OC(=O)C)[C@@H](COCC2=CC=CC=C2)O[C@H]1OCCCCCCCl,True,True,False,0,,CC(=O)N[C@H]1[C@H](OCCCCCCCl)O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@@H]1OC(=O)OCC(Cl)(Cl)Cl
17,16,N(C(C(Cl)(Cl)Cl)=O)[C@@H]1[C@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COCC2=CC=CC=C2)O[C@@H]1OCC3=CC4=C(C=C3)C=CC=C4,N(C(C(Cl)(Cl)Cl)=O)[C@@H]1[C@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COCC2=CC=CC=C2)O[C@@H]1OCC3=CC4=C(C=C3)C=CC=C4,True,True,False,0,,CC(=O)O[C@H]1[C@@H](NC(=O)C(Cl)(Cl)Cl)[C@@H](OCc2ccc3ccccc3c2)O[C@H](COCc2ccccc2)[C@H]1OC(C)=O
18,17,O([C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](O[C@H]3[C@H](OCC4=CC=CC=C4)[C@@H](OCC5=CC=CC=C5)[C@H](OCC[Si](C)(C)C)O[C@@H]3COCC6=CC=CC=C6)O[C@H](COCC7=CC=CC=C7)[C@@H]1OCC8=CC=CC=C8)[C@H]9[C@H](NC(C)=O)[C@@H](OCC%10=CC=CC=C%10)[C@H](OC(=O)C)[C@@H](COCC%11=CC=CC=C%11)O9,O([C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](O[C@H]3[C@H](OCC4=CC=CC=C4)[C@@H](OCC5=CC=CC=C5)[C@H](OCC[Si](C)(C)C)O[C@@H]3COCC6=CC=CC=C6)O[C@H](COCC7=CC=CC=C7)[C@@H]1OCC8=CC=CC=C8)[C@H]9[C@H](NC(C)=O)[C@@H](OCC%10=CC=CC=C%10)[C@H](OC(=O)C)[C@@H](COCC%11=CC=CC=C%11)O9,True,True,False,0,,CC(=O)N[C@H]1[C@H](O[C@H]2[C@@H](OCc3ccccc3)[C@@H](COCc3ccccc3)O[C@@H](O[C@H]3[C@H](OCc4ccccc4)[C@@H](OCc4ccccc4)[C@H](OCC[Si](C)(C)C)O[C@@H]3COCc3ccccc3)[C@@H]2OCc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@@H]1OCc1ccccc1
19,18,[Si](OC[C@@H]1[C@@H](O[C@H]2[C@@H]([C@@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O2)N4C(=O)C=5C(C4=O)=CC=CC5)[C@H](OCC6=CC=CC=C6)[C@@H](OC(=O)C7=CC=CC=C7)[C@H](OCCCC8=CC=CC=C8)O1)(C(C)(C)C)(C9=CC=CC=C9)C%10=CC=CC=C%10,[Si](OC[C@@H]1[C@@H](O[C@H]2[C@@H]([C@@H](OC(C)=O)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O2)N4C(=O)C=5C(C4=O)=CC=CC5)[C@H](OCC6=CC=CC=C6)[C@@H](OC(=O)C7=CC=CC=C7)[C@H](OCCCC8=CC=CC=C8)O1)(C(C)(C)C)(C9=CC=CC=C9)C%10=CC=CC=C%10,True,True,False,0,,CC(=O)O[C@H]1[C@H](OC(C)=O)[C@@H](COCc2ccccc2)O[C@@H](O[C@H]2[C@H](OCc3ccccc3)[C@@H](OC(=O)c3ccccc3)[C@H](OCCCc3ccccc3)O[C@@H]2CO[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)[C@@H]1N1C(=O)c2ccccc2C1=O
20,19,N(=[N+]=[N-])[C@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COC(C)=O)O[C@@H]1OCC=C,N(=[N+]=[N-])[C@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COC(C)=O)O[C@@H]1OCC=C,True,True,False,0,,C=CCO[C@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OCc2ccccc2)[C@@H]1N=[N+]=[N-]
21,20,N(=[N+]=[N-])[C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC=C)O[C@H]1OCC3=CC=CC=C3,N(=[N+]=[N-])[C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC=C)O[C@H]1OCC3=CC=CC=C3,True,True,False,0,,C=CCOC[C@H]1O[C@@H](OCc2ccccc2)[C@H](N=[N+]=[N-])[C@@H](OCc2ccccc2)[C@@H]1OC(C)=O
22,21,[Si](O[C@H]1[C@H](NC(C)=O)[C@@H](O[C@H]2[C@@H](OCC3=CC=CC=C3)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H](C)O2)[C@H](OC(=O)C)[C@@H](COCC4=CC=CC=C4)O1)(C(C)(C)C)(C5=CC=CC=C5)C6=CC=CC=C6,[Si](O[C@H]1[C@H](NC(C)=O)[C@@H](O[C@H]2[C@@H](OCC3=CC=CC=C3)[C@H](OC(C)=O)[C@H](OC(C)=O)[C@H](C)O2)[C@H](OC(=O)C)[C@@H](COCC4=CC=CC=C4)O1)(C(C)(C)C)(C5=CC=CC=C5)C6=CC=CC=C6,True,True,False,0,,CC(=O)N[C@H]1[C@H](O[Si](c2ccccc2)(c2ccccc2)C(C)(C)C)O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@@H]1O[C@@H]1O[C@@H](C)[C@@H](OC(C)=O)[C@@H](OC(C)=O)[C@@H]1OCc1ccccc1
23,22,N(C(OCC(Cl)(Cl)Cl)=O)[C@@H]1[C@@H](OC(OCC2=CC=CC=C2)=O)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O[C@@H]1OCC=C,N(C(OCC(Cl)(Cl)Cl)=O)[C@@H]1[C@@H](OC(OCC2=CC=CC=C2)=O)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O[C@@H]1OCC=C,True,True,False,0,,C=CCO[C@H]1O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@H](OC(=O)OCc2ccccc2)[C@H]1NC(=O)OCC(Cl)(Cl)Cl
24,23,N(C(OCC(Cl)(Cl)Cl)=O)[C@@H]1[C@@H](OC(OCC2=CC=CC=C2)=O)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O[C@@H]1OCC=C,N(C(OCC(Cl)(Cl)Cl)=O)[C@@H]1[C@@H](OC(OCC2=CC=CC=C2)=O)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O[C@@H]1OCC=C,True,True,False,0,,C=CCO[C@H]1O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@H](OC(=O)OCc2ccccc2)[C@H]1NC(=O)OCC(Cl)(Cl)Cl
25,24,N(C(OCC(Cl)(Cl)Cl)=O)[C@@H]1[C@@H](OC(OCC2=CC=CC=C2)=O)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O[C@@H]1OCC=C,N(C(OCC(Cl)(Cl)Cl)=O)[C@@H]1[C@@H](OC(OCC2=CC=CC=C2)=O)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O[C@@H]1OCC=C,True,True,False,0,,C=CCO[C@H]1O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@H](OC(=O)OCc2ccccc2)[C@H]1NC(=O)OCC(Cl)(Cl)Cl
26,25,S([C@H]1[C@]2([C@]([C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1)(OC(=O)N2)[H])[H])C4=CC=CC=C4,S([C@H]1[C@]2([C@]([C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1)(OC(=O)N2)[H])[H])C4=CC=CC=C4,True,True,False,0,,CC(=O)O[C@H]1[C@@H]2OC(=O)N[C@H]2[C@H](Sc2ccccc2)O[C@@H]1COCc1ccccc1
27,26,O([C@H]1[C@@H]([C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1)N4C(=O)C=5C(C4=O)=CC=CC5)C6=CC=C(OC)C=C6,O([C@H]1[C@@H]([C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1)N4C(=O)C=5C(C4=O)=CC=CC5)C6=CC=C(OC)C=C6,True,True,False,0,,COc1ccc(O[C@@H]2O[C@H](COCc3ccccc3)[C@@H](OC(C)=O)[C@H](OCc3ccccc3)[C@H]2N2C(=O)c3ccccc3C2=O)cc1
28,27,N(=[N+]=[N-])[C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O[C@H]1O[Si](C(C)(C)C)(C)C,N(=[N+]=[N-])[C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O[C@H]1O[Si](C(C)(C)C)(C)C,True,True,False,0,,CC(=O)O[C@H]1[C@H](OCc2ccccc2)[C@@H](N=[N+]=[N-])[C@H](O[Si](C)(C)C(C)(C)C)O[C@@H]1COCc1ccccc1
29,28,N(=[N+]=[N-])[C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COC(C)=O)O[C@H]1OCCCC=C,N(=[N+]=[N-])[C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COC(C)=O)O[C@H]1OCCCC=C,True,True,False,0,,C=CCCCO[C@@H]1O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OCc2ccccc2)[C@H]1N=[N+]=[N-]
30,29,N(C(OCC(Cl)(Cl)Cl)=O)[C@@H]1[C@@H](OC(CCl)=O)[C@H](OC(=O)C)[C@@H](COCC2=CC=CC=C2)O[C@H]1OCC[Si](C)(C)C,N(C(OCC(Cl)(Cl)Cl)=O)[C@@H]1[C@@H](OC(CCl)=O)[C@H](OC(=O)C)[C@@H](COCC2=CC=CC=C2)O[C@H]1OCC[Si](C)(C)C,True,True,False,0,,CC(=O)O[C@H]1[C@H](OC(=O)CCl)[C@@H](NC(=O)OCC(Cl)(Cl)Cl)[C@H](OCC[Si](C)(C)C)O[C@@H]1COCc1ccccc1
31,30,N(C(OCC(Cl)(Cl)Cl)=O)[C@@H]1[C@@H](OC(CCl)=O)[C@H](OC(=O)C)[C@@H](COCC2=CC=CC=C2)O[C@H]1OCC[Si](C)(C)C,N(C(OCC(Cl)(Cl)Cl)=O)[C@@H]1[C@@H](OC(CCl)=O)[C@H](OC(=O)C)[C@@H](COCC2=CC=CC=C2)O[C@H]1OCC[Si](C)(C)C,True,True,False,0,,CC(=O)O[C@H]1[C@H](OC(=O)CCl)[C@@H](NC(=O)OCC(Cl)(Cl)Cl)[C@H](OCC[Si](C)(C)C)O[C@@H]1COCc1ccccc1
32,31,N(C(C)=O)[C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O[C@@H]1OCC4=CC=CC=C4,N(C(C)=O)[C@@H]1[C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O[C@@H]1OCC4=CC=CC=C4,True,True,False,0,,CC(=O)N[C@H]1[C@@H](OCc2ccccc2)O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@@H]1OCc1ccccc1
33,32,O([C@H]1[C@]2([C@@]([C@H](OCC3=CC=CC=C3)[C@@H](OCC4=CC=CC=C4)[C@@H]1OCC5=CC=CC=C5)(OC(C)(C)O2)[H])[H])[C@@H]6[C@H](N=[N+]=[N-])[C@@H](OCC7=CC=CC=C7)[C@H](OC(=O)C)[C@@H](COCC8=CC=CC=C8)O6,O([C@H]1[C@]2([C@@]([C@H](OCC3=CC=CC=C3)[C@@H](OCC4=CC=CC=C4)[C@@H]1OCC5=CC=CC=C5)(OC(C)(C)O2)[H])[H])[C@@H]6[C@H](N=[N+]=[N-])[C@@H](OCC7=CC=CC=C7)[C@H](OC(=O)C)[C@@H](COCC8=CC=CC=C8)O6,True,True,False,0,,CC(=O)O[C@H]1[C@H](OCc2ccccc2)[C@@H](N=[N+]=[N-])[C@@H](O[C@@H]2[C@@H](OCc3ccccc3)[C@H](OCc3ccccc3)[C@@H](OCc3ccccc3)[C@H]3OC(C)(C)O[C@@H]23)O[C@@H]1COCc1ccccc1
34,33,N(C(OCC=C)=O)[C@@H]1[C@@H](O[C@@H](C(OCC)=O)C)[C@H](OC(=O)C)[C@@H](COCC2=CC=CC=C2)O[C@@H]1OCC=C,N(C(OCC=C)=O)[C@@H]1[C@@H](O[C@@H](C(OCC)=O)C)[C@H](OC(=O)C)[C@@H](COCC2=CC=CC=C2)O[C@@H]1OCC=C,True,True,False,0,,C=CCOC(=O)N[C@H]1[C@@H](OCC=C)O[C@H](COCc2ccccc2)[C@@H](OC(C)=O)[C@@H]1O[C@H](C)C(=O)OCC
35,34,O([C@H]1[C@@H]([C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1)N4C(=O)C=5C(C4=O)=CC=CC5)C6=CC=C(OC)C=C6,O([C@H]1[C@@H]([C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1)N4C(=O)C=5C(C4=O)=CC=CC5)C6=CC=C(OC)C=C6,True,True,False,0,,COc1ccc(O[C@@H]2O[C@H](COCc3ccccc3)[C@@H](OC(C)=O)[C@H](OCc3ccccc3)[C@H]2N2C(=O)c3ccccc3C2=O)cc1
36,35,O([C@H]1[C@@H]([C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1)N4C(=O)C=5C(C4=O)=CC=CC5)C6=CC=C(OC)C=C6,O([C@H]1[C@@H]([C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1)N4C(=O)C=5C(C4=O)=CC=CC5)C6=CC=C(OC)C=C6,True,True,False,0,,COc1ccc(O[C@@H]2O[C@H](COCc3ccccc3)[C@@H](OC(C)=O)[C@H](OCc3ccccc3)[C@H]2N2C(=O)c3ccccc3C2=O)cc1
37,36,O([C@H]1[C@@H]([C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1)N4C(=O)C=5C(C4=O)=CC=CC5)C6=CC=C(OC)C=C6,O([C@H]1[C@@H]([C@@H](OCC2=CC=CC=C2)[C@H](OC(=O)C)[C@@H](COCC3=CC=CC=C3)O1)N4C(=O)C=5C(C4=O)=CC=CC5)C6=CC=C(OC)C=C6,True,True,False,0,,COc1ccc(O[C@@H]2O[C@H](COCc3ccccc3)[C@@H](OC(C)=O)[C@H](OCc3ccccc3)[C@H]2N2C(=O)c3ccccc3C2=O)cc1
38,37,O([C@H]1[C@H](OCC2=CC=CC=C2)[C@@H](OC(CCC(C)=O)=O)[C@H](OCCCC=C)O[C@@H]1C(OC)=O)[C@@H]3[C@H](N=[N+]=[N-])[C@@H](OCC4=CC=CC=C4)[C@H](OC(=O)C)[C@@H](COC(C)=O)O3,O([C@H]1[C@H](OCC2=CC=CC=C2)[C@@H](OC(CCC(C)=O)=O)[C@H](OCCCC=C)O[C@@H]1C(OC)=O)[C@@H]3[C@H](N=[N+]=[N-])[C@@H](OCC4=CC=CC=C4)[C@H](OC(=O)C)[C@@H](COC(C)=O)O3,True,True,False,0,,C=CCCCO[C@@H]1O[C@H](C(=O)OC)[C@@H](O[C@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OCc3ccccc3)[C@H]2N=[N+]=[N-])[C@H](OCc2ccccc2)[C@H]1OC(=O)CCC(C)=O
39,38,O([C@H]1[C@H](OCC2=CC=CC=C2)[C@@H](OC(CCC(C)=O)=O)[C@H](OCCCC=C)O[C@@H]1C(OC)=O)[C@@H]3[C@H](N=[N+]=[N-])[C@@H](OCC4=CC=CC=C4)[C@H](OC(=O)C)[C@@H](COC(C)=O)O3,O([C@H]1[C@H](OCC2=CC=CC=C2)[C@@H](OC(CCC(C)=O)=O)[C@H](OCCCC=C)O[C@@H]1C(OC)=O)[C@@H]3[C@H](N=[N+]=[N-])[C@@H](OCC4=CC=CC=C4)[C@H](OC(=O)C)[C@@H](COC(C)=O)O3,True,True,False,0,,C=CCCCO[C@@H]1O[C@H](C(=O)OC)[C@@H](O[C@H]2O[C@H](COC(C)=O)[C@@H](OC(C)=O)[C@H](OCc3ccccc3)[C@H]2N=[N+]=[N-])[C@H](OCc2ccccc2)[C@H]1OC(=O)CCC(C)=O
